,nbSyll,pron,origin,warning,remarques,POS,lineId,pageId,motVedette,Sampa,ipa
8313,1,ſkāte,,,,n.,2.0,196,skate,s k eI t,sk?t
8314,3,ſkĕʹlĕton,,,,n.,3.0,196,skeleton,s k E l @ t @ n,skɛlətən
8315,1,ſkĕtch,,,,n.,5.0,196,sketch,s k E tS,skɛ?
8316,1,ſkew,,,,a.,6.0,196,skew,s k j u,skju
8317,2,ſkeʹwer,,,,n.,7.0,196,skewer,s k j u 3:r,skjuɜ:r
8318,1,ſkĭff,F.,,,n.,8.0,196,skiff,s k I f,skɪf
8319,2,ſkĭʹlful,,,,a.,9.0,196,skilful,s k I l f @ l,skɪlfəl
8320,1,ſkĭll,,,,n.,10.0,196,skill,s k I l,skɪl
8321,2,ſkĭʹllet,,,,n.,11.0,196,skillet,s k I l @ t,skɪlət
8322,1,ſkĭm,,,,n.,12.0,196,skim,s k I m,skɪm
8323,2,ſkĭʹmm_e_r,F.,,,n.,13.0,196,skimmer,s k I m 3:r,skɪmɜ:r
8324,1,ſkĭn,,,,n.,15.0,196,skin,s k I n,skɪn
8325,2,ſkĭʹnny,,,,a.,16.0,196,skinny,s k I n i:,skɪniː
8326,1,ſkĭp,,,,v.,17.0,196,skip,s k I p,skɪp
8327,2,ſkĭʹrmiſh,,,,n.,18.0,196,skirmish,s k 3:r m i S,skɜ:rmiʃ
8328,1,ſkĭrts,,,,n.,19.0,196,skirts,s k 3:r t s,skɜ:rts
8329,1,ſkĭt,,,,n.,20.0,196,skit,s k I t,skɪt
8330,2,ſkĭʹttiſh,,,,a.,21.0,196,skittish,s k I 4 i S,skɪɾiʃ
8331,1,ſky,,,,n.,24.0,196,sky,s k aI,sk?
8332,1,ſlăb,,,,n.,25.0,196,slab,s l { b,slæb
8333,1,ſlăck,,,,a.,27.0,196,slack,s l { k,slæk
